token_ticker,sentiment_score,mCap
BEAGLE,0.3333333333333333,4329
BEANIE,-1.0,6271
BEAR,-1.0,4097
BEAST,-1.0,4547
BEASTMODE,-0.20238095238095238,5993
BEAU,-0.25,5185
BEBE,-0.2692307692307692,4133
BEBE,-0.2692307692307692,7720
BEBE,-0.2692307692307692,4129
BEDU,-0.29411764705882354,11593
BELIEF,-0.19327731092436976,12747
BEN,-0.15987460815047022,4342
BEN,-0.15987460815047022,5152
BENI,-0.42857142857142855,5063
BERRY,-0.3333333333333333,144320
BETZY,-0.2777777777777778,90209
BFB,-0.2,15004
BFF,0.09090909090909091,4966
BFG,-0.6153846153846154,5214
BFK,0.16666666666666666,4492
BFLOWS,-0.29411764705882354,4831
BGG,0.6,4384
BHAD,-0.6666666666666666,8369
BHOR,0.0,7233
BIANCA,1.0,4140
BIBI,0.0,4749
BIDEN,-0.5384615384615384,19146
BIDEN,-0.5384615384615384,4515
BIDO,-0.25,4403
BIEBER,-0.09090909090909091,4464
BIG,-0.16666666666666666,4837
BILADEN,-0.5774647887323944,4522
BILL,-0.6041131105398457,6969
BILL,-0.6041131105398457,5376
BILLION,-0.23076923076923078,6718
BILLY,-0.2,4213
BINO,-0.24414715719063546,7975
BIRDIE,-0.2727272727272727,20823
BIT,-1.0,6107
BITCH,-0.5,23028
BITTY,-0.34328358208955223,27493
BJ,1.0,4508
BKBBB,-1.0,4220
BLACKOUT,-0.2,4080
BLAKE,-0.6470588235294118,4129
BLESS,-0.0036900369003690036,4904
BLINK,-1.0,4977
BLINK CAT,-0.5,5460
BLM,0.2,4006
BLOCKCHAIN,-1.0,4990
BMAGA,-0.7142857142857143,11411
BMI,-0.3333333333333333,4899
BMichi,-0.29523809523809524,4667
BNEIRO,-0.2631578947368421,4536
BOAI,-1.0,4147
BOBO,-0.3225806451612903,4401
BOBO,-0.3225806451612903,4182
BOBR,-0.19607843137254902,6271
BOD,0.0,4975
BOD,0.0,7679
BOFAG,-0.68,6339
BOG,-0.35802469135802467,5033
BOGME,0.2,4582
BOLIVIA,0.0,4377
BOLLY,0.0,4210
BOLT,-0.2,4238
BOLT,-0.2,4571
BOME,-0.16666666666666666,4229
BOME,-0.16666666666666666,4311
BOO,-0.4,18567
BOO,-0.4,4292
BOOG,1.0,4450
BOOKIE,-0.2222222222222222,4205
BOOM,-0.2,7054
BOOM,-0.2,4109
BOOMER,-1.0,5540
BOON,-0.6666666666666666,6508
BOOP,-0.5833333333333334,4352
BOOP,-0.5833333333333334,4429
BOOST,0.3333333333333333,4913
BOOW,0.0,5041
BOPS,-0.44931506849315067,5795
BOPS,-0.44931506849315067,5607
BORZ,0.0,4036
BOS,-0.8571428571428571,4556
BOTTLE,-0.4,4867
BOWL,-0.15,4462
BOYS,1.0,6002
BPACK,-0.36363636363636365,4525
BPEPE,-1.0,6078
BRADLEY,-0.5294117647058824,4845
BRAT,-0.3333333333333333,4103
BRAT,-0.3333333333333333,4525
BREAD,-0.4857142857142857,4708
BRIAN,-1.0,4228
BRKSUM,-0.4318181818181818,4663
BRO,-0.30434782608695654,4957
BRO,-0.30434782608695654,4427
BRO,-0.30434782608695654,18288
BROG,-0.5,4930
BROTHER,-0.3333333333333333,8883
BROTHER,-0.3333333333333333,10522
BROTHER,-0.3333333333333333,7997
BRUH,-1.0,8509
BSOL,-0.6744186046511628,5081
BTC,-0.2727272727272727,4522
BTC,-0.2727272727272727,4713
BTC,-0.2727272727272727,4644
BTRUMP,-0.3103448275862069,4114
BUB,0.09090909090909091,89232
BUBBLES,-0.23404255319148937,4659
BUBBY,-0.5454545454545454,4945
BUCK,1.0,4342
BUDD,-0.06870229007633588,11977
BUDDHA,-0.4,4992
BUDDHA,-0.4,5183
BUDDY,-0.23076923076923078,7272
BUFF,-0.44,4741
BUFFY,-0.2845528455284553,4260
BULL,-0.5675675675675675,41451
BULL,-0.5675675675675675,4750
BULLY,-0.06666666666666667,4587
BULLY,-0.06666666666666667,4676
BUMBO,-0.3026315789473684,5245
BUMMER,-0.3584905660377358,4370
BUMP,-0.3333333333333333,4922
BUN,-0.18518518518518517,4374
BURGAM,-0.6470588235294118,9707
BUSK,-0.6666666666666666,4199
BUTTA,-1.0,4908
BUTTPLUG,-0.5,13138
BUTTROCK,-0.42857142857142855,4792
BYME,-0.5,4929
BYTE,-1.0,7921
Baby Dog,-1.0,4337
BabyBan,0.25,11580
BabyPepe,1.0,4446
Balltze,-0.28205128205128205,5306
Bandit,1.0,5373
Bandz,-0.3230769230769231,4544
Bangz,-1.0,4255
Bed,-0.13513513513513514,4676
BeetCat,-0.1902439024390244,4886
Bidən,-0.14285714285714285,7793
BillyAI,1.0,4354
Bitcoin Ai,-0.2857142857142857,4998
BluBol,-0.29537366548042704,5898
Bludpe,-0.17647058823529413,4453
Bob,-0.5068493150684932,4761
Boba,-0.5333333333333333,4485
Bodi,-1.0,4813
Bonita,-0.18181818181818182,5703
Bonzi,-0.2727272727272727,4801
Boob,-0.08955223880597014,6240
Booh,-1.0,6887
Bounce,-1.0,5557
Boxer,-0.31343283582089554,5643
Boy,-0.5,4061
Boza,-0.7142857142857143,5077
Brad Lee,-0.38071065989847713,8643
Brav,-0.39473684210526316,5214
Brazil,0.22580645161290322,6065
Breast,-0.3333333333333333,4444
Bro,-0.6097560975609756,66476
Brother,-0.3333333333333333,4300
Bruh,-0.38095238095238093,310818
BuLLz,-0.381294964028777,4774
Bubbi,-0.4492753623188406,4393
Bubbles,-0.5294117647058824,4202
Bubbles,-0.5294117647058824,4917
BuffetG,-0.15,8472
Build,-0.21212121212121213,5614
BullOX,-1.0,5389
Bumbaclart,0.3333333333333333,6926
Burger,-0.375,7406
Buttcrack,-1.0,6227
Buzy,0.1111111111111111,4497
Byeden,-0.14814814814814814,10853
C3C,-0.0847457627118644,4396
CA,-0.5416666666666666,4636
CABALA,0.0,19056
CALA,-1.0,4660
CAMEL,-0.09090909090909091,7161
CANE,-0.42857142857142855,78692
CAP,-0.813953488372093,9398
CAP,-0.813953488372093,7946
CAPITAN,-0.22727272727272727,4842
CASH,-0.3786407766990291,4357
CAT,-0.43373493975903615,6687
CAT,-0.43373493975903615,4676
CAT,-0.43373493975903615,5860
CAT,-0.43373493975903615,4515
CATBAL,0.14285714285714285,5156
CATDGE,-0.6,4464
CATE,-0.34210526315789475,5388
CATE,-0.34210526315789475,10738
CATGIRL,-1.0,4431
CATGON,-0.4084507042253521,5029
CATI,1.0,6023
CATMESS,-0.12,4223
CATMOS,-0.7777777777777778,4116
CATMOUSE,-0.5454545454545454,5915
CATPCHA,0.0,4191
CATU,-0.5,10113
CATW,-0.3235294117647059,4490
CBO,-0.7777777777777778,4327
CBear,-0.32608695652173914,4164
CC,-0.6,4430
CCC,-0.18933333333333333,5145
CDOGE,0.0,4311
CEBAL,-0.26666666666666666,4272
CEEK,0.5094339622641509,6307
CEEK,0.5094339622641509,12412
CELO,0.3333333333333333,8265
